Name,Deliberative model (categorised by OECD),Deliberative model (named by organisers),Ad hoc or Institutionalised?,"If institutionalised, is there a legal document establishing its functioning? (i.e. terms of reference)",Institutionalisation regulations URL,Project name,Project description,"Was there a dedicated committee/group set up in relation to the deliberative process? (i.e. expert group, advisory committee)",Advisory committee members,The  role of the advisory committee,Project URL,Year(s) of project,Country,OECD member?,Level of government,Place (Country/State/Region/City),Implementing organisation,Organisation URL,Organisation type,Issue category,Was the Jury/Assembly/Panel independent with mandate to set its rules of procedure?,Number of panels of the deliberative process,Total number of participants,Participant selection method,Participant selection methodology details,What was the method for participant selection?,Who was the invitation to participate from?,Response rate to invitation,Duration of participant selection process (in weeks),Duration of preparation/planning/agenda setting phase before 1st participant meeting (in weeks),Remuneration of participants,Which stakeholders were involved in the process design?,What did the stakeholders bring to the table?,"Was a dedicated online platform/tool used to keep participants up to date, informed and connected during the process?",Name of the platform for participant communication,How has process been communicated?,Elected officials part of the panel,"If yes, how many elected officials?",Total duration of face-to-face/hybrid/online meetings (in days),Total duration between 1st participant meeting date and last meeting date (in weeks),Was there an initial survey to measure the beliefs of participants?,Learning component of the process,"Was there a connection to other forms of engagement? If so, what were they?",Please provide further details on other forms of engagement,Outcome,Outcome (file number),Were final recommendations discussed face-to-face with the public authority?,Response and followup,Was there a change in administration during the period when deliberative process took place?,Implementation is being monitored,"If yes, how is implementation being monitored?",Has the process been evaluated?," If yes, how?",Evaluation link if applicable,Challenges encountered,Lessons learned,Total cost (not mandatory to fill in),Currency,Funding source(s),Online/hybrid,"Platform used if online, additionnal informations",latitude,longitude,Anything else?,Attachments 2,Included in the report
ÜSTRA,Planning Cell,Planning Cell,Ad hoc,,,ÜSTRA,"To discuss the problems of local public transport in the Hanover region and their solution options.
",,,,http://pzdb.jazzpis.space/cells/54,1995,Germany,Yes,Local Government,Hanover, Prof. Peter C. Dienel & Foundation Collaboration,,Academia,Transportation,,12,197,Two-stage random selection (e.g. civic lottery),,,,,2,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of Üstra (operator of public transport in the city of Hanover),Face-to-face,,52.3744779,9.7385532,,,checked
Consensus conference on chemical substances in food and the environment,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference on chemical substances in food and the environment,"To obtain citizens assessments of and recommendations for conflicts and solutions in the area of limits which enable us to utilize the technical advantages of the chemical substances in food, including an evaluation of whether current practices should be slackened or tightened.","Yes, a dedicated committee","Academics,NGO's","Providing expert knowledge,Ensuring balanced information,Design and facilitation,Oversight",http://www.tekno.dk/project/where-is-the-limit/?lang=en,1995,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Technology,,1,14,Random selection (stages unclear),,,,,,12-14 weeks,Non-remunerated,,,,,,No,,4,0,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions",,,The panel produced opinions on 9 key questions on the topic,5 Denmark,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.67247276,10.33555206,,,checked
Consensus Conference on Gene Therapy,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus Conference on Gene Therapy,"The objective of the conference was to obtain the evaluation of laymen of the perspectives of gene therapy, including whether the treatment should be allowed in Denmark.","Yes, a dedicated committee","Academics,NGO's","Providing expert knowledge,Ensuring balanced information,Design and facilitation,Oversight",https://web.archive.org/web/20081123180218/http://www.tekno.dk/subpage.php3?article=501&language=uk&category=11&toppic=kategori11,1995,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Technology,,1,11,Random selection (stages unclear),,,,,,12-14 weeks,Non-remunerated,,,,,,,,4,0,,,,,,https://web.archive.org/web/20081123180218/http://www.tekno.dk/subpage.php3?article=501&language=uk&category=11&toppic=kategori11,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.66685803,10.32993733,,,checked
Planning Cells on biotechnology and genetic engineering,Planning Cell,Planning Cell,Ad hoc,,,Planning Cells on biotechnology and genetic engineering,To provide citizens opinions on topics of biotechnology and genetic engineering,,,,http://pzdb.jazzpis.space/cells/53,1995,Germany,Yes,Regional/State,Baden-Wurttemberg,Academy of Technology Assessment BaWü,,Government,Technology,,8,194,Two-stage random selection (e.g. civic lottery),,,,2.00%,,,,,,,,,No,,4,,,,,,,22 Germany (in german),,,,,,,,,,,,,Budget of the Academy of Technology Assessment BaWü,Face-to-face,,48.43775,9.041169,,,checked
Cooperative housing in Solingen,Planning Cell,Planning Cell,Ad hoc,,,Co-operative housing in Solingen,To produce guidelines and suggestions for the planning and realization of the co-operative housing,,,,http://pzdb.jazzpis.space/cells/55,1995,Germany,Yes,Local Government,Solingen,The Institute for Participation and Democracy Research  of the University of Wuppertal ,http://www.idpf.eu/,Academia,Other,,4,66,Two-stage random selection (e.g. civic lottery),,,,,4,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,"Budget of: WohnBund-Beratung Nordrhein-Westfalen GmbH, savings and construction association Solingen eG, North Rhine-Westphalia, Ministry of Construction and Housing, The City of Solingen",Face-to-face,,51.16636638,7.079019175,,,checked
Consensus Conference on the Future of Fishing ,Consensus Conference,Consensus Conference,Ad hoc,,, Consensus Conference on the Future of Fishing ,To obtain the assessments of fishermen and laymen on possible solutions and action recommendations of barriers and conflicts to an environmentally and economically sustainable fishing industry,"Yes, a dedicated committee","Academics,NGO's","Providing expert knowledge,Ensuring balanced information,Design and facilitation,Oversight",http://www.tekno.dk/project/the-future-of-fishing/?lang=en,1996,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Environment,,1,8,Random selection (stages unclear),,,,,,12-14 weeks,Non-remunerated,,,,,,No,,3,0,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions",,,The panel came up with three main statements in regards to the subject of discussion.,4 Denmark,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.67133192,10.33441122,,,checked
Citizens' Jury on comparing environmental risks,Citizens' Jury,Citizens' Jury,Ad hoc,,,Citizens' Jury on comparing environmental risks,"12 environmental issues were presented and discussed, which jurists had to rank in terms of their seriousness vis-à-vis human health, ecological health, and quality of life.",,,,https://jefferson-center.org/wp-content/uploads/2012/10/comparing-enviromental-risk.pdf,1996,USA,Yes,Regional/State,Minnesota,Jefferson Center,https://jefferson-center.org/about-us/,Non-Governmental Organisation,Environment,,1,20,Random selection (stages unclear),"Stratified on variables of age, race, gender, education level, geographic location and attitude.",,,,,,,,,,,,No,,5,0,,"Learning sessions,Experts available at meetings for presentations and/or questions",,,A report was produced with a ranking of issues and the rationale for the ranking. The ranking was produced and reviewed by participants; the rationale was compiled by staff based on comments and discussions by jurors.,15 USA,,,,,,,,,,,,,US Environmental Protection Agency,Face-to-face,,45.98720781,-94.61377969,,,checked
Conference on drinking water,Consensus Conference,Consensus Conference,Ad hoc,,,Conference on drinking water,"Drinking water was put to the vote among 60 citizens, 60 experts and 60 politicians from the Folketinget (the parliament), regional and local authorities. At the conference, the 180 participants were deciding on five action plans for ensuring clean drinking water.","Yes, the planning group","NGO's,Government representatives,Expert practitioners","Design and facilitation,Oversight,Ensuring balanced information",http://www.tekno.dk/project/drinking-water-clean-water-but-how/?lang=en,1996,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Public services,,1,60,Two-stage random selection (e.g. civic lottery),"Invited 1,020 randomly selected citizens aged 18-70, with 10 men and 10 women from each age group. The Central Population Register Agency of the Ministry of the Interior was charged with the random selection. This method means that the 1,020 people may be designated as a representative sample of the population. 150 citizens replied that they were interested in participating in the conference. 60 of them were selected for participation. The selection was performed by drawing lots, while still ensuring that participants were distributed as much as possible by age, sex and domicile.",,,,,,Non-remunerated,,,,,,No,,1,0,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions",Surveys (online/offline),Conference was followed by an opinion poll of the population. The population’s responses and the results from the Board conference were identical almost down to the last cipher.,"After deliberations the panel voted on the 5 proposed plans for the drinking water. The overall ballot result from citizens, experts and politicians elected the plan from the Danish Water Supply Association as winner, one vote over the plan of the Watershed Information Centre, which came second. ",not available,,,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.67343228,10.33651158,,,checked
Planning Cells on Climate,Planning Cell,Planning Cell,Ad hoc,,,Planning Cells on Climate,To assess the potential social impact of various CO2 reduction measures and help develop and justify a strategy for energy. ,,,,http://pzdb.jazzpis.space/cells/52,1996,Germany,Yes,Regional/State,Baden-Wurttemberg,Academy of Technology Assessment BaWü,,Government,Environment,,11,220,Two-stage random selection (e.g. civic lottery),,,,10.00%,,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of the  Academy of Technology Assessment BaWü,Face-to-face,,48.4426039,9.046022904,,,checked
Consensus conference on genetically modified foods,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference on genetically modified foods,To include non-experts in order to obtain the views of ordinary people on the genetic modification of food.,"Yes, the Expert Group","Expert practitioners,Academics,NGO's","Providing expert knowledge,Ensuring balanced information",,1996,Norway,Yes,National/Federal,Norway,The Biotechnology Advisory Board ,,Government,Technology,,1,16,Random selection (stages unclear),,,,,4,,,,,,,,No,,4,,,,,,,1 Norway,,,,,,,,,,,,,Budget of The Biotechnology Advisory Board,Face-to-face,,60.5000209,9.0999715,,,checked
Planning cells on Lengerich's downtown development,Planning Cell,Planning cell,Ad hoc,,,Bürgergutachten: Gempt-Gelände Lengerich,How should the downtown area around the 'Gempt' be developed?,"Yes, a scientific committee",Academics,"Oversight,Design and facilitation",https://idpf.uni-wuppertal.de/fileadmin/idpf/B%C3%BCrgergutachten_Lengerich_2047.pdf,1997,Germany,Yes,Local Government,"Lengerich, North Rhine-Westphalia, Germany",Citizen Consult Institute for Citizen Report's GmbH,https://idpf.uni-wuppertal.de/,Academics,Urban planning,,6,132,Random selection (stages unclear),Selected at random from the population register.,Post,"Head of public institution,Mayor",,,,,Academics,The methodological design of the planning cells. ,,,"Regional media, official gazette",No,,4,,,"Experts available at meetings for presentations and/or questions,Participants can request information",,,"A written report with policy recommendations (e.g.: green areas, pedestrian zone, development of traffic infrastructure) was handed over to political authorities. ",,checked,Implementation of some recommendations (% unknow),,,,,,,,,,,,Face-to-face,,,,,,
Planning cells on Nordhausen's downtown development,Planning Cell,Planning cell,Ad hoc,,,Bürgergutachten: Innenstadt und Kornmarkt in Nordhausen,How should the downtown and 'corn market' area be developed?,"Yes, a scientific committee",Academics,"Design and facilitation,Oversight",https://idpf.uni-wuppertal.de/fileadmin/idpf/B%C3%BCrgergutachten_Nordhausen_compressed.pdf,1997,Germany,Yes,Local Government,"Nordhausen, Thuringia, Germany",The Institute for Participation and Democracy Research of the University of Wuppertal,https://idpf.uni-wuppertal.de/,Academics,Urban planning,,2,48,Random selection (stages unclear),Selected at random from the population register.,Post,Head of public institution,30.00%,,,,Academics,The methodological design of the planning cells. ,,,"Regional media, official gazette",No,,4,,,"Experts available at meetings for presentations and/or questions,Introductory reading material before 1st meeting",,,"A written report with policy recommendations (e.g.: development of traffic infrastructure as well as pedestrian and bicycle infrasturcture, green areas, industrial settlement) was handed over to political authorities. ",,checked,Implementation of some recommendations (% unknow),,,,,,,,,,,Thuringia lander budget,Face-to-face,,51.5483174,10.7419734,,,
Consensus conference: The Consumption and Environment of the Future,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference: The Consumption and Environment of the Future,To assess the means that should be employed to make consumption more sustainable. ,,,,http://www.tekno.dk/project/the-consumption-and-environment-of-the-future/?lang=en,1997,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Environment,,1,14,Random selection (stages unclear),,,,,,12-14 weeks,Non-remunerated,,,,,,,,3,0,,,,,"In the Final Document consumers point out that they are not encouraged, either culturally or economically, to buy environmental products and that this is one of the main barriers to sustainable consumption. Organic goods are for instance more expensive and harder to get. The consumer panel therefore recommends that an improved framework for environmentally sound ricing of goods should be provided through taxes and targeted support measures for environmental production. Both producers and consumers should experience being “green” as economically rewarding. And it should be easy regardless of place of residence and lifestyle. Consumers themselves bear some of the responsibility for a change in the pattern of consumption, but the consumer panel emphasizes that legislators are highly responsible for securing the framework for sustainable consumption.",not available,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.66573198,10.32881128,,,checked
Consensus conference on teleworking,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference on teleworking,To provide insights and recommendations on teleworking,"Yes, the expert panel","Academics,Expert practitioners",Providing expert knowledge,,1997,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Other,,1,13,Single stage random selection (e.g. polling company recruitment),"The 13 representatives for the panel were chosen from among 2000 individuals selected at
random from the register of persons at the Ministry of the Interior. A total of 115 expressed interest in taking part. ",Post,,,,12-14 weeks,Non-remunerated,,,,,,No,,3,,,,,,,2 Denmark,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.66554459,10.32862389,,,checked
Citizens' Jury on Dakota County's Comprehensive Plan,Citizens' Jury,Citizens' Jury,Ad hoc,,,Citizens' Jury on Dakota County's Comprehensive Plan,To identify priorities of its residents for the County’s Comprehensive Land Use Plan as the County faced tough choices related to its projected growth and how to manage it.,"Yes, a Steering committee","Government representatives,Expert practitioners,Citizens","Ensuring balanced information,Oversight,Design and facilitation",,1997,USA,Yes,Local Government,Dakota County,Jefferson Center,https://jefferson-center.org/about-us/,Non-Governmental Organisation,Urban planning,,1,24,Two-stage random selection (e.g. civic lottery),"First stage - via random telephone survey, then random selection according to stratified sampling, on criteria of age, gender, race, location, education and opinion on growth of Dakota County",Phone,,,,,,"Academics,Civil Society Organisations,Private Companies,Government Officials",Act as witnesses to provide information and perspectives to the panel,,,Video made and disseminated,No,,5,0,,"Experts available at meetings for presentations and/or questions,Learning sessions,Reading material between meetings",,,"Defined values and recommended a range of action steps under various topics such as transportation, transit, parks and open spaces, environment",9 USA,,Specific response to participants about recommendations,,,,checked,Participant exit survey,Available within the report,,,,,Budget of the Dakota County Board of Commissioners,Face-to-face,,44.666655,-93.044911,"In November 1998, the Jury re-convened for one evening to examine selected pieces of the comprehensive plan that was developed by Dakota County, prior to final approval and acceptance by the County Board. For each of the issue areas about which the original Jury developed recommendations, county staff presented relevant parts of the comprehensive plan. The Jury then discussed that component of the Plan and, through a series of electronic voting procedures, told the county whether they felt the Jury's recommendations were accurately and appropriately reflected in the comprehensive plan.",,checked
Apolda Planning Cell,Planning Cell,Planning Cell,Ad hoc,,,Apolda Planning Cell,"To produce recommendations on the urban development and the design of the Darrplatzes
",,,,http://pzdb.jazzpis.space/cells/49,1997,Germany,Yes,Local Government,Apolda,Bonn University - Department of Geography,https://www.geographie.uni-bonn.de/frontpage?set_language=en,Academia,Urban planning,,2,46,Two-stage random selection (e.g. civic lottery),,,,,4,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of the City of Apolda and Thuringian Ministry of Economics and Infrastructure,Face-to-face,,51.0227878,11.5129742,,,checked
Rubí citizens' jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Rubí citizens' jury,To produce recommendations with regards to a use of public space,"Yes, Political commission and jurors commission","Government representatives,Citizens",Oversight,,1997,Spain,Yes,Local Government,Rubí ,,,"Private sector,Academia",Urban planning,,3,77,Single stage random selection (e.g. polling company recruitment),"265 randomly selected and contacted, out of those 77 attended the event",,,,,,Remunerated,,Presentations to the jury,,,,No,,4,,,,,,,not available,,,,,,,,,,"In
Rubi, the residents’ associations federation firmly opposed to the organisation of juries, since
they perceived them as an instrument to neutralise their role as the real representatives of local
residents.",50000,EUR,,Face-to-face,,41.4936194,2.0319476,,,checked
Lengerich 2047 - Urban Development ,Planning Cell,Planning Cell,Ad hoc,,,Lengerich 2047 - Urban Development ,To discuss and provide recommendations on the future of industrial wasteland,,,,http://pzdb.jazzpis.space/cells/50,1997,Germany,Yes,Local Government, City of Lengerich," Citizen-consult, Institute for citizens expertise GmbH",,,Urban planning,,6,132,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of the  City of Lengerich,Face-to-face,,53.0773734,8.811041,,,checked
Nordhausen Planning Cell,Planning Cell,Planning Cell,Ad hoc,,,Nordhausen Planning Cell,To provide insights for the new city plan,,,,http://pzdb.jazzpis.space/cells/47,1997,Germany,Yes,Local Government,Nordhausen,Geographical Institute of the University of Bonn,,Academia,Urban planning,,2,48,Two-stage random selection (e.g. civic lottery),,,,,4,,,,,,,,No,,4,,,,,,,20 Germany (in german),,,,,,,,,,,,,Budget of the city of City Nordhausen,Face-to-face,,51.5051574,10.7925317,,,checked
St. Quirze citizens' jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,St. Quirze citizens' jury,To produce recommendations with regards to general urban planning,"Yes, the Jurors commission",Citizens,Oversight,,1997,Spain,Yes,Local Government,St. Quirze,,,"Private sector,Academia",Urban planning,,4,93,Single stage random selection (e.g. polling company recruitment),"397 randomly selected and contacted, out of those 93 attended the event",,,,4,,Remunerated,,Presentations to the jury,,,,No,,4,,,,,,,not available,,None of the recommendations implemented,,,,,,,,,50000,EUR,,Face-to-face,,41.5300604,2.088565211,,,checked
